ENSG00000282787	RP11-151A10.3
ENSG00000235545	RP11-230B22.1
ENSG00000008226	DLEC1
ENSG00000226383	AC093375.1
ENSG00000276445	LLNLR-268E12.1
ENSG00000103313	MEFV
ENSG00000122176	FMOD
ENSG00000268746	CTD-2571L23.8
ENSG00000260300	RP11-505K9.4
ENSG00000198203	SULT1C2
ENSG00000137203	TFAP2A
ENSG00000165685	TMEM52B
ENSG00000112981	NME5
ENSG00000162576	MXRA8
ENSG00000165072	MAMDC2
ENSG00000140873	ADAMTS18
ENSG00000266385	RP11-227G15.8
ENSG00000211955	IGHV3-33
ENSG00000088881	EBF4
ENSG00000260672	RP11-1006G14.1
ENSG00000176244	ACBD7
ENSG00000139292	LGR5
ENSG00000163993	S100P
ENSG00000271714	CTD-2377O17.1
ENSG00000271228	CTC-336P14.1
ENSG00000138829	FBN2
ENSG00000276110	RP4-790G17.7
ENSG00000258820	RP11-293M10.2
ENSG00000141404	GNAL
ENSG00000266498	RP11-45M22.5
ENSG00000225721	RP11-269F19.2
ENSG00000139572	GPR84
ENSG00000254813	RP11-252C15.1
ENSG00000006453	BAIAP2L1
ENSG00000124743	KLHL31
ENSG00000255038	RP11-1167A19.2
ENSG00000128567	PODXL
ENSG00000224066	RP4-622L5.7
ENSG00000262165	RP11-81A22.5
ENSG00000236206	RP11-306I1.2
ENSG00000234006	DDX39B-AS1
ENSG00000249593	CTB-46B19.2
ENSG00000253893	FAM85B
ENSG00000146005	PSD2
ENSG00000188107	EYS
ENSG00000101004	NINL
ENSG00000272279	RP11-157J24.2
ENSG00000177138	FAM9B
ENSG00000272509	RP11-347C18.5
ENSG00000131386	GALNT15
ENSG00000246548	RP11-7F17.5
ENSG00000259881	RP11-830F9.5
ENSG00000114455	HHLA2
ENSG00000251161	RP11-540O11.1
ENSG00000087258	GNAO1
ENSG00000130477	UNC13A
ENSG00000227375	DLG1-AS1
ENSG00000258168	RP11-588H23.3
ENSG00000198756	COLGALT2
ENSG00000129910	CDH15
ENSG00000261542	RP11-16E18.3
ENSG00000236283	AC013463.2
ENSG00000187554	TLR5
ENSG00000259469	RP11-227D13.4
ENSG00000223401	RP11-211G3.2
ENSG00000186648	LRRC16B
ENSG00000154856	APCDD1
ENSG00000148795	CYP17A1
ENSG00000266642	RP11-20B24.4
ENSG00000227053	RP11-395B7.4
ENSG00000272356	RP5-1112D6.8
ENSG00000248510	RP11-145G20.1
ENSG00000267550	CTC-482H14.5
ENSG00000253848	RP11-10N23.5
ENSG00000272767	JMJD1C-AS1
ENSG00000196096	AC079610.2
ENSG00000163959	SLC51A
ENSG00000230082	PRRT3-AS1
ENSG00000261465	RP11-626G11.5
ENSG00000149403	GRIK4
ENSG00000138769	CDKL2
ENSG00000233175	CTD-2020K17.3
ENSG00000267748	CTB-102L5.4
ENSG00000136531	SCN2A
ENSG00000275759	RP11-131L12.3
ENSG00000258317	RP11-603J24.5
ENSG00000163823	CCR1
ENSG00000272366	RP11-573G6.10
ENSG00000271793	RP11-321N4.5
ENSG00000099715	PCDH11Y
ENSG00000267064	UXT-AS1
ENSG00000259319	RP11-293M10.6
ENSG00000236548	RNF217-AS1
ENSG00000196169	KIF19
ENSG00000267834	RP11-167N5.5
ENSG00000277901	RP5-851M4.1
ENSG00000272115	GS1-393G12.14
ENSG00000267278	MAP3K14-AS1
ENSG00000240963	RP11-518L10.5
ENSG00000161958	FGF11
ENSG00000272529	RP11-415F23.4
ENSG00000156219	ART3
ENSG00000273274	ZBTB8B
ENSG00000224596	ZMIZ1-AS1
ENSG00000101871	MID1
ENSG00000267334	CTD-2534I21.8
ENSG00000256152	RP11-463O12.3
ENSG00000197446	CYP2F1
ENSG00000270571	RP11-355F16.1
ENSG00000164287	CDC20B
ENSG00000169247	SH3TC2
ENSG00000258938	RP11-317N8.5
ENSG00000226155	AC124944.3
ENSG00000160401	CFAP157
ENSG00000170667	RASA4B
ENSG00000272582	RP5-1039K5.17
ENSG00000171056	SOX7
ENSG00000267372	AC005330.2
ENSG00000237232	ZNF295-AS1
ENSG00000253392	AC006277.2
ENSG00000277142	LINC00235
ENSG00000248714	RP11-1079K10.3
ENSG00000240057	RP11-572M11.4
ENSG00000153558	FBXL2
ENSG00000187105	HEATR4
ENSG00000102387	TAF7L
ENSG00000259961	RP4-597A16.2
ENSG00000267199	RP11-861E21.2
ENSG00000119714	GPR68
ENSG00000174460	ZCCHC12
ENSG00000205045	SLFN12L
ENSG00000235884	LINC00941
ENSG00000273424	CTA-223H9.9
ENSG00000281849	RP13-465B17.4
