HSC	896.848	663.98
MPP	886.248	617.928
LMPP	909.908	572.053
BMEP	777.526	437.913
MkP	781.671	303.009
MkP	781.671	303.009
pro-ery1	750.54	457.585
pro-ery2	587.526	435.094
EEP1	438.222	357.439
EEP2	419.693	343.238
EEP3	424.753	344.438
EoBaMa	816.309	486.04
GMP	938.947	505.56
GMP	938.947	505.56
Mye	1121.46	398.973
Pro-mye	1167.29	369.175
MDP	1243.48	348.573
Pro-mono	1357.49	295.341
CDP	1303.81	311.455
Pre-cDC	1370.96	264.3
CLP	958.819	393.153
Pro-B1	1002.86	261.839
Pro-B2	1015.47	-49.2082
Pro-B3	1014.04	-105.829
Pro-B3	1014.04	-105.829
Pre-B1	1004.67	-140.359
Pre-B2	950.103	-181.188
