cell_type	BF1	BF2	BF3	CCI
Pre-B2	0.724638	0.688276	0.127356	0.398999
Pre-B1	0.134176	0.362119	0.976562	0.362032
Pro-B2	0.193274	0.201943	0.194175	0.196429
Pro-B1	0.194175	0.110692	0.275028	0.180816
CLP	0.0938262	0.0874978	0.118455	0.099076
Pro-B3	0.0807624	0.151029	0.0600528	0.0901456
GMP	0.0947768	0.0627752	0.0651126	0.0729004
LMPP	0.053056	0.0509756	0.0700182	0.0574269
pro-ery2	0.0515517	0.035722	0.0867303	0.0542578
BMEP	0.0585686	0.0412704	0.0330775	0.0430817
Immat-B	0.0264396	0.0783729	0.038276	0.0429664
pro-ery1	0.0541947	0.0451175	0.0305623	0.0421221
EEP1	0.0384438	0.0300223	0.0432189	0.0368125
Mye	0.0318593	0.0388418	0.0337998	0.0347135
MPP	0.0306861	0.0304157	0.0423191	0.034057
MkP	0.0458379	0.0452239	0.0173178	0.0329896
Pre-pDC	0.0379104	0.0508043	0.0180473	0.0326366
EEP2	0.031502	0.0266332	0.0274318	0.028446
EEP3	0.0303416	0.0247716	0.0247782	0.0265076
HSC	0.0271474	0.0235633	0.0259255	0.0255023
EoBaMa	0.0249838	0.025397	0.0215796	0.0239246
MatureEry	0.0169497	0.0169216	0.0467333	0.0237552
InterEry	0.0213767	0.0188501	0.0315696	0.0233448
MDP	0.0214142	0.0237393	0.0220643	0.0223857
Pre-cDC	0.0235416	0.0250855	0.0183117	0.0221146
Pro-mono	0.0240813	0.0216617	0.0201248	0.021897
LateEry	0.0186053	0.0175235	0.030021	0.0213916
Pro-mye	0.0175809	0.018418	0.026469	0.0204656
Mature-B	0.0191095	0.0215402	0.0205145	0.0203643
Memory-B	0.0201507	0.0194853	0.0179824	0.0191852
