cell_type	BF1	BF2	BF3	CCI
LMPP	0.488281	0.638107	0.777605	0.623413
GMP	0.485437	0.392296	0.301023	0.385585
MPP	0.13231	0.183997	0.160979	0.157664
HSC	0.104976	0.14132	0.182216	0.139306
BMEP	0.151653	0.106578	0.0910084	0.11373
pro-ery2	0.108436	0.0666133	0.0765462	0.0820787
CLP	0.060423	0.096668	0.08088	0.0778849
Mye	0.0588235	0.0590183	0.0739208	0.0635497
Pro-B1	0.0590114	0.0640236	0.0514509	0.0579298
pro-ery1	0.0567279	0.0578417	0.0490292	0.0543889
EEP1	0.0512138	0.0402354	0.0396008	0.0433757
EoBaMa	0.0382117	0.0373811	0.0433614	0.0395668
EEP2	0.0479157	0.03744	0.0340878	0.039399
Pro-mono	0.0286961	0.0292944	0.0519319	0.0352124
MkP	0.0356735	0.0496715	0.0242096	0.0350075
EEP3	0.0367999	0.0333712	0.0332248	0.0344277
Pre-B1	0.033618	0.0291608	0.0376563	0.033298
MDP	0.0279174	0.0284444	0.0362845	0.0306582
Pro-B2	0.0307863	0.0311117	0.0239785	0.0284261
Pre-B2	0.0276258	0.0263366	0.020069	0.0244427
Pre-pDC	0.0229832	0.0264553	0.0227863	0.0240186
Pre-cDC	0.021498	0.0241366	0.0243321	0.0232863
InterEry	0.0226101	0.0208264	0.0248164	0.0226935
Pro-mye	0.0180427	0.0205748	0.0274409	0.0216785
Pro-B3	0.0227087	0.0236616	0.0184413	0.0214796
Mature-B	0.0194909	0.0180994	0.0232148	0.0201575
Memory-B	0.0220858	0.0196117	0.0177135	0.019724
Immat-B	0.0195963	0.01908	0.0170952	0.0185592
MatureEry	0.0169509	0.0169664	0.020566	0.0180854
LateEry	0.0178501	0.0174543	0.0182282	0.0178421
